"Bank Code,Bank Name"
"090467,GOOD NEIGHBORS MFB"
"090495,GOODNEWS MICROFINANCE BANK"
"090122,GOWANS MICROFINANCE BANK"
"090550,GREEN ENERGY MICROFINANCE BANK"
"090599,GREENACRES MICROFINANCE BANK LTD"
"090178,GREENBANK MICROFINANCE BANK"
"090269,GREENVILLE MICROFINANCE BANK"
"060004,GREENWICH MERCHANT BANK"
"090195,GROOMING MICROFINANCE BANK"
"100009,GT MOBILE"
"000013,GTBANK PLC"
"090385,GTI MICROFINANCE BANK"
"090500,GWONG MICROFINANCE BANK"
"090147,HACKMAN MICROFINANCE BANK"
"070017,HAGGAI MORTGAGE BANK LIMITED"
"090291,HALALCREDIT MICROFINANCE BANK"
"090121,HASAL MICROFINANCE BANK"
"090363,HEADWAY MICROFINANCE BANK"
"100017,HEDONMARK"
"000020,HERITAGE BANK"
"090418,HIGHLAND MICROFINANCE BANK"
"070024,HOMEBASE MORTGAGE BANK"
"120002,HOPE PAYMENT SERVICE BANK"
"090439,IBETO MICROFINANCE BANK"
"090118,IBILE MICROFINANCE BANK"
"090532,IBOLO MICROFINANCE BANK"
"090519,IBOM FADAMA MICROFINANCE BANK"
"090520,IC GLOBAL MICROFINANCE BANK"
"090546,IJEBU-IFE MICROFINANCE BANK"
"090324,IKENNE MICROFINANCE BANK"
"090279,IKIRE MICROFINANCE BANK"
"090571,ILARO POLY MICROFINANCE BANK"
"090370,ILISAN MICROFINANCE BANK"
"090430,ILORA MICROFINANCE BANK"
"090350,ILORIN MICROFINANCE BANK"
"090258,IMO STATE MICROFINANCE BANK"
"090417,IMOWO MICROFINANCE BANK"
"100024,IMPERIAL HOMES MORTGAGE BANK"
"090670,IMSU MICROFINANCE BANK"
"090157,INFINITY MICROFINANCE BANK"
"070016,INFINITY TRUST MORTGAGE BANK"
"100029,INNOVECTIVES KESH"
"090434,INSIGHTS MICROFINANCE BANK"
"100027,INTELLIFIN"
"090386,INTERLAND MICROFINANCE BANK"
"110003,INTERSWITCH LIMITED"
"090493,IPERU MICROFINANCE BANK"
"090149,IRL MICROFINANCE BANK"
"090377,ISALEOYO MICROFINANCE BANK"
"090428,ISHIE MICROFINANCE BANK"
"090584,ISLAND MICROFINANCE BANK"
"090543,IWOAMA MICROFINANCE BANK"
"090337,IYE OKIN MICROFINANCE BANK LTD"
"090620,IYIN EKITI MICROFINANCE BANK"
"090421,IZON MICROFINANCE BANK"
"000006,JAIZ BANK"
"090352,JESSEFIELD MICROFINANCE BANK"
"090003,JUBILEE-LIFE MORTGAGE BANK"
"090320,KADPOLY MICROFINANCE BANK"
"090669,KADUPE MICROFINANCE BANK"
"090554,KAYVEE MICROFINANCE BANK"
"090549,KC MICROFINANCE BANK"
"090191,KCMB MICROFINANCE BANK"
"100036,KEGOW(CHAMSMOBILE)"
"000002,KEYSTONE BANK"
"090487,KINGDOM COLLEGE MICROFINANCE BANK"
"090606,KKU MICROFINANCE BANK"
"090480,KOLOMONI MICROFINANCE BANK"
"090299,KONTAGORA MICROFINANCE BANK"
"090617,KOPO KOPE MICROFINANCE BANK"
"090380,KREDI MONEY MICROFINANCE BANK"
"090267,KUDA MICROFINANCE BANK"
"090450,KWASU MICROFINANCE BANK"
"070012,LAGOS BUILDING AND INVESTMENT COMPANY"
"090177,LAPO MICROFINANCE BANK"
"090271,LAVENDER MICROFINANCE BANK"
"090650,LEADCITY MICROFINANCE BANK"
"110044,LEADREMIT LIMITED"
"090372,LEGEND MICROFINANCE BANK"
"090420,LETSHEGO MICROFINANCE BANK"
"090557,LIFEGATE MICROFINANCE BANK"
"090477,LIGHT MICROFINANCE BANK"
"090435,LINKS MICROFINANCE BANK"
"070007,LIVINGTRUST MORTGAGE BANK PLC"
"000029,LOTUS BANK"
"090265,LOVONUS MICROFINANCE BANK"
"050015,LUKEFIELD FINANCE COMPANY LIMITED"
"100035,M36"
"090623,MAB ALLIANZ MICROFINANCE BANK"
"090630,MABINAS MICROFINANCE BANK"
"090603,MACROD MICROFINANCE BANK LIMITED"
"090605,MADOBI MICROFINANCE BANK"
"090465,MAIN TRUST MICROFINANCE BANK"
"090323,MAINLAND MICROFINANCE BANK"
"090171,MAINSTREET MICROFINANCE BANK"
"090174,MALACHY MICROFINANCE BANK"
"090383,MANNY MICROFINANCE BANK"
"090410,MARITIME MICROFINANCE BANK"
"090423,MAUTECH MICROFINANCE BANK"
"090321,MAYFAIR MICROFINANCE BANK"
"070019,MAYFRESH MORTGAGE BANK"
"090612,MEDEF MICROFINANCE BANK"
"090280,MEGAPRAISE MICROFINANCE BANK"
"090432,MEMPHIS MICROFINANCE BANK"
"090589,MERCURY MICROFINANCE BANK"
"090275,MERIDAN MFB"
"090659,MICHAEL OKPARA UNIAGRIC MICROFINANCE BANK"
"090587,MICROBIZ MICROFINANCE BANK"
"090136,MICROCRED MICROFINANCE BANK"
"090113,MICROVIS MICROFINANCE BANK"
"090192,MIDLAND MICROFINANCE BANK"
"090607,MINJIBIR MICROFINANCE BANK"
"090281,MINT-FINEX MFB"
"090455,MKOBO MICROFINANCE BANK"
"100011,MKUDI"
"090362,MOLUSI MICROFINANCE BANK"
"120003,MOMO PAYMENT SERVICE BANK"
"090462,MONARCH MICROFINANCE BANK"
"100020,MONEY BOX"
"090129,MONEY TRUST MICROFINANCE BANK"
"120005,Moneymaster PSB"
"090405,MONIEPOINT MICROFINANCE BANK"
"090685,MOREMONEE MICROFINANCE BANK"
"090448,MOYOFADE MICROFINANCE BANK"
"090392,MOZFIN MICROFINANCE BANK"
"090190,MUTUAL BENEFITS MICROFINANCE BANK"
"090151,MUTUAL TRUST MICROFINANCE BANK"
"090152,NAGARTA MICROFINANCE BANK"
"090128,NDIORAH MICROFINANCE BANK"
"090329,NEPTUNE MICROFINANCE BANK"
"090205,NEW DAWN MICROFINANCE BANK"
"090378,NEW GOLDEN PASTURES MICROFINANCE BANK"
"090108,NEW PRUDENTIAL BANK"
"030001,NEXIM BANK"
"090459,NICE MICROFINANCE BANK"
"090505,NIGERIA PRISONS MICROFINANCE BANK"
"090263,NIGERIAN NAVY MICROFINANCE BANK"
"999999,NIP VIRTUAL BANK"
"090194,NIRSAL NATIONAL MICROFINANCE BANK"
"090283,NNEW WOMEN MICROFINANCE BANK"
"100032,NOWNOW DIGITAL SYSTEMS LIMITED"
"060003,NOVA MERCHANT BANK"
"070001,NPF MICROFINANCE BANK"
"090628,NSEHE MICROFINANCE BANK"
"090364,NUTURE MICROFINANCE BANK"
"090399,NWANNEGADI MICROFINANCE BANK"
"090437,OAKLAND MICROFINANCE BANK"
"090333,OCHE MICROFINANCE BANK"
"090654,ODOAKPU Microfinance Bank"
"090119,OHAFIA MICROFINANCE BANK"
"090626,OHHA MICROFINANCE BANK"
"090565,OKE-ARO OREDEGBE MFB"
"090646,OKENGWE MICROFINANCE BANK"
"090161,OKPOGA MICROFINANCE BANK"
"090566,OKUKU MICROFINANCE BANK"
"090272,OLABISI ONABANJO UNIVERSITY MICROFINANCE"
"090468,OLOFIN OWENA MICROFINANCE BANK"
"090404,OLOWOLAGBA MICROFINANCE BANK"
"090471,OLUCHUKWU MFB"
"090460,OLUYOLE MICROFINANCE BANK"
"090295,OMIYE MICROFINANCE BANK"
"100004,OPAY"
"000036,OPTIMUS BANK"
"090492,ORAUKWU MICROFINANCE BANK"
"090567,OROKAM MICROFINANCE BANK"
"090396,OSCOTECH MICROFINANCE BANK"
"090456,OSPOLY MICROFINANCE BANK"
"090580,OTECH MICROFINANCE BANK"
"090542,OTUO MICROFINANCE BANK"
"090635,OYAN MICROFINANCE BANK"
"100002,PAGA"
"000106,PAGE FINANCIALS"
"070008,PAGE MFBank"
"100033,PALMPAY"
"000030,PARALLEX BANK"
"090390,PARKWAY MICROFINANCE BANK"
"100003,PARKWAY-READYCASH"
"000526,PARRALEX"
"090317,PATRICKGOLD MICROFINANCE BANK"
"110001,PAYATTITUDE ONLINE"
"110006,PAYSTACK PAYMENT LIMITED"
"090402,PEACE MICROFINANCE BANK"
"090137,PECANTRUST MICROFINANCE BANK"
"090196,PENNYWISE MICROFINANCE BANK"
"090135,PERSONAL TRUST MICROFINANCE BANK"
"090165,PETRA MICROFINANCE BANK"
"090289,PILLAR MICROFINANCE BANK"
"070013,PLATINUM MORTGAGE BANK"
"000008,POLARIS BANK"
"090296,POLYUNWANA MICROFINANCE BANK"
"090412,PREEMINENT MICROFINANCE BANK"
"000031,PREMIUM TRUST  BANK"
"090274,PRESTIGE MICROFINANCE BANK"
"090481,PRISCO MICROFINANCE BANK"
"090499,PRISTINE DIVITIS MICROFINANCE BANK"
"000023,Providus"
"090303,PURPLEMONEY MICROFINANCE BANK"
"090261,QUICKFUND MICROFINANCE BANK"
"000024,RAND MERCHANT BANK"
"070011,REFUGE MORTGAGE BANK"
"090125,REGENT MICROFINANCE BANK"
"090463,REHOBOTH MICROFINANCE BANK"
"090173,RELIANCE MICROFINANCE BANK"
"090198,RENMONEY MICROFINANCE BANK"
"090322,REPHIDIM MICROFINANCE BANK"
"090132,RICHWAY MICROFINANCE BANK"
"090433,RIGO MICROFINANCE BANK"
"090515,RIMA GROWTH PATHWAY MICROFINANCE BANK"
"090547,ROCKSHIELD MICROFINANCE BANK"
"090138,ROYAL EXCHANGE MICROFINANCE BANK"
"090175,RUBIES MICROFINANCE BANK"
"090286,SAFE HAVEN MICROFINANCE BANK"
"090485,SAFEGATE MICROFINANCE BANK"
"090006,SAFETRUST"
"090140,SAGAMU MICROFINANCE BANK"
"050003,SAGE GREY FINANCE LIMITED"
"090513,SEAP MICROFINANCE BANK"
"090112,SEED CAPITAL MICROFINANCE BANK"
"090369,SEEDVEST MICROFINANCE BANK"
"090502,SHALOM MICROFINANCE BANK"
"090401,SHERPERD TRUST MICROFINANCE BANK"
"090559,SHIELD MICROFINANCE BANK"
"090558,SHONGOM MICROFINANCE BANK"
"000034,SIGNATURE BANK"
"090449,SLS MICROFINANCE BANK"
"120004,SMARTCASH PAYMENT SERVICE BANK"
"090506,SOLID ALLIANZE MICROFINANCE BANK"
"090524,SOLIDROCK MICROFINANCE BANK"
"090325,SPARKLE"
"090436,SPECTRUM MICROFINANCE BANK"
"100007,STANBIC IBTC @Ease WALLET"
"000012,STANBIC IBTC BANK"
"000021,STANDARD CHARTERED BANK"
"090162,STANFORD MICROFINANCE BANK"
"070022,STB MORTGAGE BANK"
"090262,STELLAS MICROFINANCE BANK"
"000001,STERLING BANK"
"100022,GOMONEY (FORMERLY STERLING MOBILE) "
"090340,STOCKCORP MICROFINANCE BANK"
"090305,SULSPAP MICROFINANCE BANK"
"090302,SUNBEAM MICROFINANCE BANK"
"000022,SUNTRUST BANK"
"090446,SUPPORT MICROFINANCE BANK"
"090564,SUPREME MICROFINANCE BANK"
"100023,TAGPAY"
"000026,TAJ BANK"
"090560,TANADI MFB (CRUST)"
"090426,TANGERINE MONEY"
"090115,TCF MICROFINANCE BANK"
"110007,TEAMAPT LIMITED"
"100010,TEASY MOBILE"
"090373,THINK FINANCE MICROFINANCE BANK"
"000025,TITAN TRUST BANK"
"100039,TITAN-PAYSTACK"
"090146,TRIDENT MICROFINANCE BANK"
"090525,TRIPLEA MICROFINANCE BANK"
"090327,TRUST MICROFINANCE BANK"
"090123,TRUSTBANC J6 MICROFINANCE BANK LIMITED"
"090005,TRUSTBOND MORTGAGE BANK"
"090276,TRUSTFUND MICROFINANCE BANK"
"090315,U & C MICROFINANCE BANK"
"090403,UDA MICROFINANCE BANK"
"090517,UHURU MICROFINANCE BANK"
"090331,UNAAB MICROFINANCE BANK"
"090461,UNIBADAN MICROFINANCE BANK"
"090266,UNIBEN MICROFINANCE BANK"
"090193,UNICAL MICROFINANCE BANK"
"090452,UNILAG MICROFINANCE BANK"
"090341,UNILORIN MICROFINANCE BANK"
"090464,UNIMAID MICROFINANCE BANK"
"000018,UNION BANK"
"000004,UNITED BANK FOR AFRICA"
"000011,UNITY BANK"
"090338,UNIUYO MICROFINANCE BANK"
"090251,""UNIVERSITY OF NIGERIA, NSUKKA MICROFINANCE BANK"""
"110009,VENTURE GARDEN NIGERIA LIMITED"
"090474,VERDANT MICROFINANCE BANK"
"090110,VFD MFB"
"090150,VIRTUE MICROFINANCE BANK"
"090139,VISA MICROFINANCE BANK"
"100012,VT NETWORKS"
"000017,WEMA BANK"
"090120,WETLAND  MICROFINANCE BANK"
"090124,XSLNCE MICROFINANCE BANK"
"090466,YCT MICROFINANCE BANK"
"090142,YES MICROFINANCE BANK"
"090252,YOBE MICROFINANCE  BANK"
"000015,ZENITH BANK"
"100034,ZENITH EASY WALLET"
"100018,ZENITH MOBILE"
"090504,ZIKORA MICROFINANCE BANK"
"100025,ZINTERNET - KONGAPAY"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
